epoch,loss,sdv_score,ks_score,tstr_accuracy,composite_score
50,,0.8338498319377191,2.1728032287147174e-21,0.8070947170649754,0.5756683478945802
100,,0.8756014443074294,1.3443849670055946e-26,0.8070947170649754,0.5923689928424644
150,,0.8718456083329933,7.603601814702709e-36,0.8070947170649754,0.5908666584526899
200,,0.8740184383777329,4.286384656433104e-24,0.8070947170649754,0.5917357904705858
250,,0.8860025036508914,7.836677361381452e-16,0.8070947170649754,0.5965294165798494
300,,0.8905202485626115,9.058592374032424e-23,0.8070947170649754,0.5983365145445372
350,,0.900891820358886,7.730729968663615e-08,0.8070947170649754,0.602485166455237
400,,0.9058868957819323,6.86118660967066e-09,0.8070947170649754,0.6044831754906215
450,,0.889822069318178,1.8806814674971605e-30,0.8070947170649754,0.5980572428467638
500,,0.9148460834702118,1.372158857376291e-18,0.8070947170649754,0.6080668485075773
